Station number,River,Location,Flow File,Boundary File,Area,Minimum altitude,10 percentile,50 percentile,90 percentile,Maximum altitude,Woodland,Arable / horticultural,Grassland,Mountain / Heath / Bog,Urban extent,High permeability bedrock,Moderate permeability bedrock,Very low permeability bedrock,Mixed permeability bedrock,FARL,CF-Natural,CF-Storage,CF-Regulated,CF-Effluent,CF-Abstraction
33035,Ely Ouse,Denver Complex,33035_gdf.csv,33035.shp,3430,-1.30,6.10,34.40,84.90,165.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39016,Kennet,Theale,39016_gdf.csv,39016.shp,1033.4,44.60,91.30,153.50,205.20,295.70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5004,Glass,Fasnakyle,5004_gdf.csv,5004.shp,277.5,77.30,245.80,451.70,795.60,1182.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18002,Devon,Glenochil,18002_gdf.csv,18002.shp,181,4.4,42.90,293.00,528.30,720.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
72016,Wyre,Scorton Weir,72016_gdf.csv,72016.shp,88.8,30.80,97.90,213.45,440.00,560.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
95002,Broom,Inverbroom,95002_gdf.csv,95002.shp,141.4,4.80,239.70,395.00,663.60,1103.40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5003,Glass,Kerrow Wood,5003_gdf.csv,5003.shp,481.8,52.8,242.40,478.70,811.20,1182.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
54008,Teme,Tenbury,54008_gdf.csv,54008.shp,1134.4,48.40,110.00,214.40,383.70,544.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39008,Thames,Eynsham,39008_gdf.csv,39008.shp,1616.2,60.00,76.00,118.40,222.70,330.20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8002,Spey,Kinrara,8002_gdf.csv,8002.shp,1011.7,210.0,284.80,516.00,812.10,1263.20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9004,Bogie,Redcraig,9004_gdf.csv,9004.shp,179,120.50,179.80,290.50,427.20,707.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12003,Dee,Polhollick,12003_gdf.csv,12003.shp,690,219.60,376.80,604.70,892.60,1308.90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28085,Derwent,St Mary's Bridge,28085_gdf.csv,28085.shp,1054,43.90,111.60,262.60,414.00,635.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34004,Wensum,Costessey Mill,34004_gdf.csv,34004.shp,570.9,5.30,29.40,50.00,71.10,96.10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28067,Derwent,Church Wilne,28067_gdf.csv,28067.shp,1177.5,30.70,91.10,237.80,404.40,635.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
45009,Exe,Pixton,45009_gdf.csv,45009.shp,159.7,117.10,228.00,310.00,398.40,516.80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
53018,Avon,Bathford,53018_gdf.csv,53018.shp,1552,20.30,53.30,104,172.10,304.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22001,Coquet,Morwick,22001_gdf.csv,22001.shp,569.8,5.2,79.30,192.80,420.00,774.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27071,Swale,Crakehill,27071_gdf.csv,27071.shp,1363,14.60,31.40,104.10,464.10,714.30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27099,Derwent,Malton A64 Road Bridge,27099_gdf.csv,27099.shp,1360.1,15.20,25.70,125.10,293.20,453.20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27007,Ure,Westwick,27007_gdf.csv,27007.shp,914.6,15.00,52.80,263.80,511.0,714.30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39072,Thames,Royal Windsor Park,39072_gdf.csv,39072.shp,7046,17.50,59.90,104.70,187.40,330.20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28022,Trent,North Muskham,28022_gdf.csv,28022.shp,8231,4.80,50.70,112.70,260.20,635.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
54057,Severn,Haw Bridge,54057_gdf.csv,54057.shp,9895,7.4,49.00,110.00,303.50,826.20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33039,Bedford Ouse,Roxton,33039_gdf.csv,33039.shp,1660,4.70,46.40,96.50,137.30,247.30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7001,Findhorn,Shenachie,7001_gdf.csv,7001.shp,415.6,251.30,339.98,559.70,761.00,935.30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
